Country,Gold Medal,Silver Medal,Bronze Medal,Total,Rank By Total,Continent
United States of America,39,41,33,113,1,North America
People's Republic of China,38,32,18,88,2,Asia
Japan,27,14,17,58,5,Asia
Great Britain,22,21,22,65,4,Europe
ROC,20,28,23,71,3,Europe
Australia,17,7,22,46,6,Oceania
Netherlands,10,12,14,36,9,Europe
France,10,12,11,33,10,Europe
Germany,10,11,16,37,8,Europe
Italy,10,10,20,40,7,Europe
Canada,7,6,11,24,11,North America
Brazil,7,6,8,21,12,South America
New Zealand,7,6,7,20,13,Oceania
Cuba,7,3,5,15,18,Europe
Hungary,6,7,7,20,13,North America
Republic of Korea,6,4,10,20,13,Asia
Poland,4,5,5,14,19,Europe
Czech Republic,4,4,3,11,23,Europe
Kenya,4,4,2,10,25,Africa
Norway,4,2,2,8,29,Europe
Jamaica,4,1,4,9,26,North America
Spain,3,8,6,17,17,Europe
Sweden,3,6,0,9,26,Europe
Switzerland,3,4,6,13,20,Europe
Denmark,3,4,4,11,23,Europe
Croatia,3,3,2,8,29,Europe
Islamic Republic of Iran,3,2,2,7,33,Asia
Serbia,3,1,5,9,26,Europe
Belgium,3,1,3,7,33,Europe
Bulgaria,3,1,2,6,39,Europe
Slovenia,3,1,1,5,42,Europe
Uzbekistan,3,0,2,5,42,Asia
Georgia,2,5,1,8,29,Asia
Chinese Taipei,2,4,6,12,22,Asia
Turkey,2,2,9,13,20,Asia
Greece,2,1,1,4,47,Europe
Uganda,2,1,1,4,47,Africa
Ecuador,2,1,0,3,60,Oceania
Ireland,2,0,2,4,47,Europe
Israel,2,0,2,4,47,Asia
Qatar,2,0,1,3,60,Asia
Bahamas,2,0,0,2,66,North America
Kosovo,2,0,0,2,66,Europe
Ukraine,1,6,12,19,16,Europe
Belarus,1,3,3,7,33,Europe
Romania,1,3,0,4,47,Europe
Venezuela,1,3,0,4,47,South America
India,1,2,4,7,33,Asia
"Hong Kong, China",1,2,3,6,39,China
Philippines,1,2,1,4,47,Asia
Slovakia,1,2,1,4,47,Europe
South Africa,1,2,0,3,60,Africa
Austria,1,1,5,7,33,Oceania
Egypt,1,1,4,6,39,Africa
Indonesia,1,1,3,5,42,Asia
Ethiopia,1,1,2,4,47,Africa
Portugal,1,1,2,4,47,Europe
Tunisia,1,1,0,2,66,Africa
Estonia,1,0,1,2,66,Europe
Fiji,1,0,1,2,66,Oceania
Latvia,1,0,1,2,66,Europe
Thailand,1,0,1,2,66,Asia
Bermuda,1,0,0,1,77,North America
Morocco,1,0,0,1,77,Africa
Puerto Rico,1,0,0,1,77,North America
Colombia,0,4,1,5,42,South America
Azerbaijan,0,3,4,7,33,Asia
Dominican Republic,0,3,2,5,42,North America
Armenia,0,2,2,4,47,Asia
Kyrgyzstan,0,2,1,3,60,Asia
Mongolia,0,1,3,4,47,Asia
Argentina,0,1,2,3,60,South America
San Marino,0,1,2,3,60,Europe
Jordan,0,1,1,2,66,Asia
Malaysia,0,1,1,2,66,Asia
Nigeria,0,1,1,2,66,Africa
Bahrain,0,1,0,1,77,Asia
Saudi Arabia,0,1,0,1,77,Asia
Lithuania,0,1,0,1,77,Europe
North Macedonia,0,1,0,1,77,Europe
Namibia,0,1,0,1,77,Africa
Turkmenistan,0,1,0,1,77,Asia
Kazakhstan,0,0,8,8,29,Asia
Mexico,0,0,4,4,47,North America
Finland,0,0,2,2,66,Europe
Botswana,0,0,1,1,77,Africa
Burkina Faso,0,0,1,1,77,Africa
C™te d'Ivoire,0,0,1,1,77,Africa
Ghana,0,0,1,1,77,Africa
Grenada,0,0,1,1,77,North America
Kuwait,0,0,1,1,77,Asia
Republic of Moldova,0,0,1,1,77,Europe
Syrian Arab Republic,0,0,1,1,77,Asia